,description,price,url,condition,Brand,Processor,Storage,Touchscreen,HDMI,Chromebook,OS,storage,RAM,screensize
18,"Refurbished: Dell Latitude 7390 13.3  inch 1920x1080 Full HD Touchscreen Laptop PC, Intel Quad Core i7-8650U 1.9GHz, 8GB Ram, 512GB SSD, Win 10 Pro Grade B+",499.99,https://www.newegg.com/black-dell-latitude-7390-mainstream/p/1TS-000A-0DD33?Item=9SIADT2E406436&Description=laptop&cm_re=laptop-_-9SIADT2E406436-_-Product,old,Dell,i7,SSD,yes,no,no,windows,512,8,13.3
19,Refurbished: DELL Grade A Laptop XPS 7490 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 620 14.0  inch Windows 10 Pro 64-bit,737.99,https://www.newegg.com/dell-xps-7490/p/N82E16834843812?Item=N82E16834843812&Description=laptop&cm_re=laptop-_-34-843-812-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
20,Refurbished: DELL Precision 7510 Laptop Intel Core i7 6th Gen 6820HQ (2.70 GHz) 16 GB Memory 512 GB SSD 15.6  inch Windows 10 Pro 64-bit Grade A,651.99,https://www.newegg.com/dell-precision-7510/p/N82E16834944864?Item=N82E16834944864&Description=laptop&cm_re=laptop-_-34-944-864-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,15.6
21,Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,623.99,https://www.newegg.com/dell-latitude-7480/p/N82E16834343234?Item=N82E16834343234&Description=laptop&cm_re=laptop-_-34-343-234-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
22,Refurbished: DELL Grade A Laptop Latitude 7390 Intel Core i5 8th Gen 8350U (1.70GHz) 8GB Memory 256 GB SSD Intel UHD Graphics 620 13.3  inch Windows 10 Pro 64-bit,439.99,https://www.newegg.com/dell-latitude-7390-work-business/p/N82E16834343433?Item=N82E16834343433&Description=laptop&cm_re=laptop-_-34-343-433-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,13.3
23,Refurbished: DELL Grade A Laptop Precision 7520 Intel Xeon E3-1505M v6 (3.0GHz) 32GB Memory 512 GB SSD Intel HD Graphics P630 15.6  inch Windows 10 Pro 64-bit,817.99,https://www.newegg.com/dell-precision-7520/p/N82E16834343208?Item=N82E16834343208&Description=laptop&cm_re=laptop-_-34-343-208-_-Product,old,Dell,xeon,SSD,no,no,no,windows,512,32,15.6
24,Refurbished: DELL Grade A Laptop 7370 Intel Core M5 6Y57 (1.10GHz) 8GB Memory 256 GB SSD 13.3  inch Windows 10 Pro,283.99,https://www.newegg.com/dell-7370/p/N82E16834843140?Item=N82E16834843140&Description=laptop&cm_re=laptop-_-34-843-140-_-Product,old,Dell,M5,SSD,no,no,no,windows,256,8,13.3
26,Refurbished: DELL Laptop 7390 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB M.2 SSD 13.3  inch Windows 10 Pro 64bit,593.99,https://www.newegg.com/dell-7390/p/N82E16834343084?Item=N82E16834343084&Description=laptop&cm_re=laptop-_-34-343-084-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,13.3
27,Refurbished: DELL Grade B Laptop Latitude 3190 Intel Pentium Silver N5000 (1.10GHz) 4GB Memory 128 GB SSD Intel UHD Graphics 605 11.6  inch Touchscreen Windows 10 Pro 64-bit,159.99,https://www.newegg.com/dell-latitude-3190-work-business/p/N82E16834343499?Item=N82E16834343499&Description=laptop&cm_re=laptop-_-34-343-499-_-Product,old,Dell,Pentium,SSD,yes,no,no,windows,128,4,11.6
28,Refurbished: DELL Laptop Latitude E7470 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0  inch Windows 10 Pro 64-bit,349.99,https://www.newegg.com/aluminum-dell-latitude-e7470-work-business/p/N82E16834343436?Item=N82E16834343436&Description=laptop&cm_re=laptop-_-34-343-436-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14.0
29,Refurbished: DELL B Grade Laptop 5404 Rugged Intel Core i5 4th Gen 4310U (2.00GHz) 8GB Memory 256 GB SSD 14.0  inch Windows 10 Pro,498.99,https://www.newegg.com/dell-5404-rugged/p/N82E16834846054?Item=N82E16834846054&Description=laptop&cm_re=laptop-_-34-846-054-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14.0
30,Refurbished: DELL Grade B Laptop Latitude 7280 Intel Core i5 7th Gen 7300U (2.60GHz) 8GB Memory 256 GB SSD Intel HD Graphics 620 12.5  inch Windows 10 Pro 64-bit,326.99,https://www.newegg.com/dell-latitude-7280/p/N82E16834343228?Item=N82E16834343228&Description=laptop&cm_re=laptop-_-34-343-228-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,12.5
31,Refurbished: DELL Grade B Laptop Latitude Rugged 5414 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0  inch Touchscreen Windows 10 Pro 64-bit,616.99,https://www.newegg.com/dell-latitude-rugged-5414/p/N82E16834843745?Item=N82E16834843745&Description=laptop&cm_re=laptop-_-34-843-745-_-Product,old,Dell,i5,SSD,yes,no,no,windows,256,8,14.0
32,Refurbished: DELL Grade B Laptop Latitude 12 Rugged 7214 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 11.6  inch Touchscreen Windows 10 Pro 64-bit,479.99,https://www.newegg.com/dell-latitude-12-rugged-7214/p/N82E16834343319?Item=N82E16834343319&Description=laptop&cm_re=laptop-_-34-343-319-_-Product,old,Dell,i5,SSD,yes,no,no,windows,256,8,11.6
33,Refurbished: DELL Grade B Laptop Precision 5530 Intel Core i7 8th Gen 8850 H (2.60GHz) 32GB Memory 512 GB SSD Intel UHD Graphics 630 15.6  inch Windows 10 Pro 64-bit,806.99,https://www.newegg.com/dell-precision-5530-workstation/p/N82E16834343275?Item=N82E16834343275&Description=laptop&cm_re=laptop-_-34-343-275-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,32,15.6
34,Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i5 7th Gen 7200U (2.50GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 15.6  inch Windows 10 Pro 64-bit,578.99,https://www.newegg.com/dell-latitude-5580/p/N82E16834343374?Item=N82E16834343374&Description=laptop&cm_re=laptop-_-34-343-374-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,15.6
35,Refurbished: DELL Grade A Laptop E7470 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0  inch Windows 10 Pro 64-Bit,414.99,https://www.newegg.com/dell-e7470/p/N82E16834944209?Item=N82E16834944209&Description=laptop&cm_re=laptop-_-34-944-209-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14.0
36,Refurbished: DELL Laptop 7480 Core i7 6600U (2.60GHz) 16GB Memory 512 SSD 14.0  inch Windows 10,530.99,https://www.newegg.com/gray-dell-7480-workstation/p/N82E16834844740?Item=N82E16834844740&Description=laptop&cm_re=laptop-_-34-844-740-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
37,Refurbished: DELL E5470 Laptop Intel Core i7 6th Gen 6820HQ (2.70 GHz) 16 GB Memory 512 GB SSD 14.0  inch Windows 10 Pro A Grade,478.99,https://www.newegg.com/dell-e5470/p/N82E16834843163?Item=N82E16834843163&Description=laptop&cm_re=laptop-_-34-843-163-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
39,Refurbished: DELL Laptop Vostro 5310 Intel Core i7 11th Gen 11390H (3.40GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 13.3  inch Windows 10 Pro 64-bit,919.99,https://www.newegg.com/gray-dell-vostro-5310-work-business/p/N82E16834343482?Item=N82E16834343482&Description=laptop&cm_re=laptop-_-34-343-482-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,13.3
40,Refurbished: DELL Laptop Latitude E6430S Intel Core i5 3320M (2.60GHz) 8GB Memory 128 GB SSD 14.0  inch Windows 10 Pro 64-Bit,299.99,https://www.newegg.com/black-dell-latitude-e6430s/p/N82E16834296498?Item=N82E16834296498&Description=laptop&cm_re=laptop-_-34-296-498-_-Product,old,Dell,i5,SSD,no,no,no,windows,128,8,14.0
41,Refurbished: DELL Grade A Laptop Latitude 5490 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,486.99,https://www.newegg.com/dell-latitude-5490/p/N82E16834343221?Item=N82E16834343221&Description=laptop&cm_re=laptop-_-34-343-221-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
42,Refurbished: DELL Grade A Laptop Latitude 5480 Intel Core i7 6th Gen 6600U (2.60GHz) 16GB Memory 512 GB SSD Intel HD Graphics 520 14.0  inch Windows 10 Pro 64-bit,501.99,https://www.newegg.com/dell-latitude-5480/p/N82E16834843682?Item=N82E16834843682&Description=laptop&cm_re=laptop-_-34-843-682-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
43,Refurbished: DELL Grade A Laptop Latitude E5470 Intel Core i7 6th Gen 6820HQ (2.70GHz) 16GB Memory 256 GB SSD Intel HD Graphics 530 14.0  inch Windows 10 Pro 64-bit,454.99,https://www.newegg.com/dell-latitude-e5470/p/N82E16834343368?Item=N82E16834343368&Description=laptop&cm_re=laptop-_-34-343-368-_-Product,old,Dell,i7,SSD,no,no,no,windows,256,16,14.0
44,Refurbished: DELL Grade B Laptop Latitude 5285 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 12.3  inch Touchscreen Windows 10 Pro 64-bit,444.99,https://www.newegg.com/dell-latitude-5285/p/N82E16834343213?Item=N82E16834343213&Description=laptop&cm_re=laptop-_-34-343-213-_-Product,old,Dell,i7,SSD,yes,no,no,windows,256,16,12.3
45,Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,454.99,https://www.newegg.com/dell-latitude-7480/p/N82E16834343232?Item=N82E16834343232&Description=laptop&cm_re=laptop-_-34-343-232-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
46,Refurbished: DELL XPS 7390 Laptop Intel Core i5 8th Gen 8350U (1.70 GHz) 16 GB Memory 512 GB SSD Intel UHD Graphics 620 13.3  inch Windows 10 Pro 64-bit Grade A,479.99,https://www.newegg.com/dell-xps-7390/p/N82E16834843811?Item=N82E16834843811&Description=laptop&cm_re=laptop-_-34-843-811-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,13.3
47,Refurbished: DELL Grade B Laptop Latitude 5480 Intel Core i7 6th Gen 6600U (2.60GHz) 16GB Memory 480 GB SSD Intel HD Graphics 520 14.0  inch Windows 10 Pro 64-bit,444.99,https://www.newegg.com/dell-latitude-5480/p/N82E16834843681?Item=N82E16834843681&Description=laptop&cm_re=laptop-_-34-843-681-_-Product,old,Dell,i7,SSD,no,no,no,windows,480,16,14.0
48,Refurbished: DELL B Grade Laptop 5480 Intel Core i5 6th Gen 6440HQ (2.6GHz) 16GB Memory 512 GB SSD Intel HD Graphics 530 14.0  inch Windows 10 Pro 64-bit,401.99,https://www.newegg.com/gray-dell-5480-workstation/p/N82E16834343077?Item=N82E16834343077&Description=laptop&cm_re=laptop-_-34-343-077-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,14.0
49,Refurbished: DELL Grade A Laptop Latitude 3510 Intel Core i3 10th Gen 10110U (2.10GHz) 4GB Memory 500GB HDD Intel UHD Graphics 15.6  inch Windows 10 Pro 64-bit,409.99,https://www.newegg.com/dell-latitude-3510-work-business/p/N82E16834343359?Item=N82E16834343359&Description=laptop&cm_re=laptop-_-34-343-359-_-Product,old,Dell,i3,HDD,no,no,no,windows,500,4,15.6
50,Refurbished: DELL B Grade Laptop e6420 Intel Core i7 2.70GHz 4GB Memory 320GB HDD 14.0  inch Windows 10 Pro 64-Bit,322.99,https://www.newegg.com/dell-e6420/p/N82E16834298135?Item=N82E16834298135&Description=laptop&cm_re=laptop-_-34-298-135-_-Product,old,Dell,i7,HDD,no,no,no,windows,320,4,14.0
51,Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 15.6  inch Windows 10 Pro 64-bit,463.99,https://www.newegg.com/dell-latitude-5580/p/N82E16834343030?Item=N82E16834343030&Description=laptop&cm_re=laptop-_-34-343-030-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,15.6
52,Refurbished: DELL Grade B Laptop Latitude 14 Rugged 5414 Intel Core i5 6th Gen 6300U (2.40GHz) 16GB Memory 500 GB SSD Intel HD Graphics 520 14.0  inch Touchscreen Windows 10 Pro 64-bit,639.99,https://www.newegg.com/dell-latitude-14-rugged-5414-work-business/p/N82E16834343517?Item=N82E16834343517&Description=laptop&cm_re=laptop-_-34-343-517-_-Product,old,Dell,i5,SSD,yes,no,no,windows,500,16,14.0
53,Refurbished: DELL Grade A Laptop Latitude 5590 Intel Core i5 8th Gen 8250U (1.60GHz) 16GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 15.6  inch Windows 10 Pro 64-bit,657.99,https://www.newegg.com/dell-latitude-5590/p/N82E16834343373?Item=N82E16834343373&Description=laptop&cm_re=laptop-_-34-343-373-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,15.6
54,Refurbished: DELL Laptop 5290 Intel Core i5 8th Gen 8350U (1.70GHz) 8GB Memory 256 GB M.2 SSD 12.3  inch Touchscreen Windows 10 Pro 64bit,465.99,https://www.newegg.com/dell-5290/p/N82E16834343090?Item=N82E16834343090&Description=laptop&cm_re=laptop-_-34-343-090-_-Product,old,Dell,i5,SSD,yes,no,no,windows,256,8,12.3
55,Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 1 TB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,539.99,https://www.newegg.com/dell-latitude-7480-work-business/p/N82E16834343461?Item=N82E16834343461&Description=laptop&cm_re=laptop-_-34-343-461-_-Product,old,Dell,i5,SSD,no,no,no,windows,1024,16,14.0
56,Refurbished: DELL Precision 7510 Laptop Intel Core i7 6th Gen 6820HQ (2.70 GHz) 16 GB Memory 240 GB SSD 15.6  inch Windows 10 Pro 64-bit Grade B,563.99,https://www.newegg.com/dell-precision-7510/p/N82E16834944622?Item=N82E16834944622&Description=laptop&cm_re=laptop-_-34-944-622-_-Product,old,Dell,i7,SSD,no,no,no,windows,240,16,15.6
57,Refurbished: DELL Grade B Laptop Latitude 5490 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,433.99,https://www.newegg.com/dell-latitude-5490/p/N82E16834343222?Item=N82E16834343222&Description=laptop&cm_re=laptop-_-34-343-222-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
58,Refurbished: DELL Grade B Laptop Latitude 7480 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,411.99,https://www.newegg.com/dell-latitude-7480/p/N82E16834343233?Item=N82E16834343233&Description=laptop&cm_re=laptop-_-34-343-233-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
59,Refurbished: DELL Grade B Laptop 7390 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 620 13.3  inch Windows 10 Pro 64-bit,609.99,https://www.newegg.com/dell-7390/p/N82E16834343187?Item=N82E16834343187&Description=laptop&cm_re=laptop-_-34-343-187-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,13.3
60,Refurbished: DELL Grade A Laptop Latitude 7490 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 620 14.0  inch Windows 10 Pro 64-bit,647.99,https://www.newegg.com/dell-latitude-7490/p/N82E16834343236?Item=N82E16834343236&Description=laptop&cm_re=laptop-_-34-343-236-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,14.0
61,Refurbished: DELL Grade A Laptop Latitude 5590 Intel Core i5 8th Gen 8250U (1.60GHz) 16GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 15.6  inch Windows 10 Pro 64-bit,660.99,https://www.newegg.com/dell-latitude-5590/p/N82E16834343326?Item=N82E16834343326&Description=laptop&cm_re=laptop-_-34-343-326-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,15.6
63,Refurbished: DELL Laptop Latitude E6430 Intel Core i5 3rd Gen 3320M (2.60GHz) 16GB Memory 256 GB SSD 14.0  inch Windows 10 Pro 64-Bit,359.99,https://www.newegg.com/dell-latitude-e6430/p/N82E16834296763?Item=N82E16834296763&Description=laptop&cm_re=laptop-_-34-296-763-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
64,Refurbished: DELL Laptop E5470 Intel Core i5 6300U (2.40GHz) 16GB Memory 512 SSD 14.0  inch Windows 10,466.99,https://www.newegg.com/gray-dell-e5470-workstation/p/N82E16834844746?Item=N82E16834844746&Description=laptop&cm_re=laptop-_-34-844-746-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,14.0
66,"Refurbished: Dell Latitude E7440 14  inch 1920x1080 FHD Laptop PC, Intel Core i5-4300U 1.9-2.9GHz, 16GB DDR3L Memory, 256GB SSD, Win-10 Pro x64 Grade A",299.99,https://www.newegg.com/black-silver-dell-latitude-e7440-mainstream/p/1TS-000A-0BKT1?Item=9SIADT2CAH2939&Description=laptop&cm_re=laptop-_-9SIADT2CAH2939-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14
67,Refurbished: DELL Grade A Laptop Latitude 5490 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 500 GB PCIe SSD Intel UHD Graphics 620 14.0  inch Windows 10 Pro 64-bit,599.99,https://www.newegg.com/dell-latitude-5490-work-business/p/N82E16834343503?Item=N82E16834343503&Description=laptop&cm_re=laptop-_-34-343-503-_-Product,old,Dell,i5,SSD,no,no,no,windows,500,16,14.0
68,Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 15.6  inch Windows 10 Pro 64-bit,713.99,https://www.newegg.com/dell-latitude-5580/p/N82E16834343375?Item=N82E16834343375&Description=laptop&cm_re=laptop-_-34-343-375-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,15.6
69,Refurbished: DELL Grade A Laptop Latitude 5480 Intel Core i7 7th Gen 7820HQ (2.90GHz) 16GB Memory 512 GB SSD Intel HD Graphics 630 14.0  inch Windows 10 Pro 64-bit,559.99,https://www.newegg.com/dell-latitude-5480/p/N82E16834343392?Item=N82E16834343392&Description=laptop&cm_re=laptop-_-34-343-392-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,16,14.0
70,Refurbished: DELL Laptop Latitude 5480 Intel Core i5 7th Gen 7300HQ (2.50GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 630 14.0  inch Windows 10 Pro 64-bit Grade A,357.99,https://www.newegg.com/dell-latitude-5480-work-business/p/N82E16834343411?Item=N82E16834343411&Description=laptop&cm_re=laptop-_-34-343-411-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14.0
71,Refurbished: DELL Grade A Laptop Latitude 5289 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 12.5  inch Touchscreen Windows 10 Pro 64-bit,535.99,https://www.newegg.com/dell-latitude-5289/p/N82E16834343216?Item=N82E16834343216&Description=laptop&cm_re=laptop-_-34-343-216-_-Product,old,Dell,i7,SSD,yes,no,no,windows,512,16,12.5
72,Refurbished: DELL Laptop 5480 Intel Core i5 6th Gen 6200U (2.30GHz) 8GB Memory 512 GB SSD 14.0  inch Windows 10 Pro 64bit,404.99,https://www.newegg.com/dell-5480/p/N82E16834343078?Item=N82E16834343078&Description=laptop&cm_re=laptop-_-34-343-078-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,8,14.0
73,Refurbished: DELL Grade A Laptop Latitude Rugged 5414 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0  inch Touchscreen Windows 10 Pro 64-bit,695.99,https://www.newegg.com/dell-latitude-rugged-5414/p/N82E16834843744?Item=N82E16834843744&Description=laptop&cm_re=laptop-_-34-843-744-_-Product,old,Dell,i5,SSD,yes,no,no,windows,256,8,14.0
74,Refurbished: DELL Grade B Laptop 7390 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 256 GB SSD Intel UHD Graphics 620 13.3  inch Windows 10 Pro 64-bit,439.99,https://www.newegg.com/dell-7390/p/N82E16834343188?Item=N82E16834343188&Description=laptop&cm_re=laptop-_-34-343-188-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,13.3
75,Refurbished: DELL Laptop Precision 7710 Core i7 6820HQ (2.70GHz) 32GB Memory 1000 SSD 17.3  inch Windows 10,909.99,https://www.newegg.com/gray-dell-precision-7710-workstation/p/N82E16834844791?Item=N82E16834844791&Description=laptop&cm_re=laptop-_-34-844-791-_-Product,old,Dell,i7,SSD,no,no,no,windows,1024,32,17.3
76,Refurbished: DELL Grade A Laptop E5570 Intel Core i5 6th Gen 6200U (2.30GHz) 16GB Memory 1 TB SSD 15.6  inch Windows 10 Pro,594.99,https://www.newegg.com/dell-e5570/p/N82E16834843189?Item=N82E16834843189&Description=laptop&cm_re=laptop-_-34-843-189-_-Product,old,Dell,i5,SSD,no,no,no,windows,1024,16,15.6
78,Refurbished: DELL Laptop E5270 Intel Core i5 6300U (2.40GHz) 16GB Memory 512 SSD 12.5  inch Windows 10,369.99,https://www.newegg.com/gray-dell-e5270-workstation/p/N82E16834844751?Item=N82E16834844751&Description=laptop&cm_re=laptop-_-34-844-751-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,12.5
79,Refurbished: DELL Laptop 7490 Intel Core i5 8th Gen 8250U (1.60GHz) 16GB Memory 512 GB M.2 SSD 14.0  inch Windows 10 Pro 64bit,668.99,https://www.newegg.com/dell-7490/p/N82E16834343087?Item=N82E16834343087&Description=laptop&cm_re=laptop-_-34-343-087-_-Product,old,Dell,i5,SSD,no,no,no,windows,512,16,14.0
